ID,Date/Time,Name,Category,Amount,Currency,Money out,Money In,Description
4a4e5d85-98c4-4c73-be01-c385cce512dd,2010-01-01,John Doe,Income,1904.08,USD,0.0,1904.08,
a7ebb9a0-ec8b-4111-a4d3-da1c1355d6c8,2010-01-01,John Doe,Rent,408.01,USD,408.01,0.0,
9510973b-9783-42a5-b9d0-a2cc28cb01ea,2010-01-02,John Doe,Utilities,273.96,USD,273.96,0.0,
6fc50722-15b9-4f13-a376-546ee7e51d5e,2010-01-23,John Doe,Dining,138.51,USD,138.51,0.0,Restaurant meal
d41db922-30e4-4453-a004-e4af243f2937,2010-01-03,John Doe,Entertainment,152.3,USD,152.3,0.0,Concert tickets
aa5e9471-4214-4cd8-9154-b3a98ab0c62c,2010-01-12,John Doe,Entertainment,104.23,USD,104.23,0.0,Streaming subscription
dab5f732-b66a-4fbd-a7ba-c018f7227cd7,2010-01-26,John Doe,Dining,179.81,USD,179.81,0.0,Cafe purchase
fb85ec8d-4d20-4ac4-9b52-2113244b4875,2010-01-04,John Doe,Groceries,86.39,USD,86.39,0.0,Weekly groceries
013ae67b-16ee-41ff-a483-3437071a6fd2,2010-01-03,John Doe,Shopping,120.57,USD,120.57,0.0,Clothing store
ce791743-46bb-4740-8f14-24cedf1d07ac,2010-01-13,John Doe,Dining,77.48,USD,77.48,0.0,Restaurant meal
8549c2a8-a995-4d5a-bed3-c01ad2248159,2010-01-12,John Doe,Shopping,66.88,USD,66.88,0.0,Clothing store
18acef4f-7062-45fd-993e-753ec1971da0,2010-01-15,John Doe,Dining,52.78,USD,52.78,0.0,Takeaway order
360244e1-e14d-427e-ad3c-8e2bd0a6dcb1,2010-01-28,John Doe,Shopping,70.06,USD,70.06,0.0,Online purchase
16b3688b-0e51-430b-abd5-8031786a68dd,2010-02-01,John Doe,Income,1868.27,USD,0.0,1868.27,
13701491-0e42-4d67-822e-b9c3e25a0c46,2010-02-01,John Doe,Rent,794.33,USD,794.33,0.0,
0a3505cd-256d-440c-9408-c3c322e418cb,2010-02-02,John Doe,Utilities,191.28,USD,191.28,0.0,
766fa537-fbe6-4f1a-b8a0-4f37b7c94313,2010-02-11,John Doe,Shopping,97.28,USD,97.28,0.0,Clothing store
c39be12f-6be6-439c-8d22-766f4a49c332,2010-02-12,John Doe,Dining,59.36,USD,59.36,0.0,Restaurant meal
f21797ec-b572-4d31-9867-f8be437864e1,2010-02-16,John Doe,Shopping,177.0,USD,177.0,0.0,Online purchase
6dcfe713-4d4a-4deb-800b-8ae060a8cd47,2010-02-13,John Doe,Groceries,156.41,USD,156.41,0.0,Weekly groceries
76f27113-d4f8-44ee-becc-4171a1d49df4,2010-02-04,John Doe,Groceries,130.36,USD,130.36,0.0,Grocery store purchase
78b695ed-7da9-4d6a-b16c-54c358606b1f,2010-02-26,John Doe,Travel,92.41,USD,92.41,0.0,Hotel booking
779b2022-42d4-4a90-a10a-972e54a5dee0,2010-03-01,John Doe,Income,2116.35,USD,0.0,2116.35,
1c128e8f-acfa-4843-9010-86167f4d3c22,2010-03-01,John Doe,Rent,657.35,USD,657.35,0.0,
9fa789e0-95cf-4c98-9c0a-e3ad2daf1fee,2010-03-02,John Doe,Utilities,172.29,USD,172.29,0.0,
8cd9b766-764b-40a7-be3c-cfd6a893abe0,2010-03-24,John Doe,Groceries,132.26,USD,132.26,0.0,Weekly groceries
ac01e402-05f8-4d26-a878-9dea8de96442,2010-03-09,John Doe,Travel,121.85,USD,121.85,0.0,Hotel booking
d250ca3c-1627-472d-aec9-f3450b62cec2,2010-03-14,John Doe,Groceries,190.72,USD,190.72,0.0,Supermarket shopping
031507fc-fd59-4a62-a5ac-43cb5e35c814,2010-03-08,John Doe,Dining,184.43,USD,184.43,0.0,Restaurant meal
be1845b1-d1b6-4705-963b-b29c170cce6c,2010-03-10,John Doe,Shopping,52.72,USD,52.72,0.0,Online purchase
80eab262-db39-4159-ad29-1e85b4363501,2010-03-27,John Doe,Dining,106.5,USD,106.5,0.0,Takeaway order
